round,cmab,cmab_trust,truthride
1,-292.2267,-336.2267,-328.7775
2,-388.1798,-500.1798,-418.8928
3,-621.4917,-801.8917,-392.1284
4,-588.9278,-840.9278,-320.2353
5,-134.118,-456.718,-199.749
6,194.7706,-197.6295,93.1336
7,320.4397,-131.9603,139.9747
8,228.5558,-293.0442,16.5621
9,241.1982,-331.6018,-187.9285
10,664.8893,21.8893,161.6313
11,1151.3019,436.9019,419.629
12,1507.6732,728.0732,586.0433
13,1596.0031,753.8031,636.7824
14,2095.2595,1217.3207,853.3302
15,2280.4366,1362.5402,1058.3298
16,2468.6819,1485.9238,1215.8791
17,2949.6963,1898.4797,1359.25
18,3272.0284,2159.4148,1406.8767
19,3532.8444,2384.6408,1569.3343
20,3746.8637,2563.6495,1742.6468
21,4056.1798,2839.1493,2021.142
22,4216.317,2991.921,1940.7621
23,4458.9756,3203.1672,1760.7161
24,4643.6832,3363.3178,1778.3315
25,4812.5443,3527.1943,1729.602
26,4968.372,3645.4501,1610.0644
27,5253.098,3900.6299,1568.6556
28,5435.2709,4036.2211,1275.4723
29,5644.6158,4236.994,1260.2028
30,5727.0544,4424.6667,1195.1315
31,5816.3812,4508.5058,1324.5844
32,6158.9692,4907.7352,1388.7206
33,6263.4477,4926.1468,1341.7677
34,6488.0164,5117.2427,1520.5719
35,6622.1968,5342.6876,1375.3761
36,6812.8387,5601.3125,1572.5723
37,6872.561,5825.8802,1776.5138
38,6899.1133,6056.7753,1763.2409
39,6888.5803,6169.6382,1756.7421
40,6880.1202,6346.6148,1922.6516
41,7195.3006,6727.7151,2122.9713
42,7316.8026,6780.0045,2376.4181
43,7363.8934,6972.6408,2501.051
44,7369.0778,7206.493,2833.6633
45,7090.1742,7247.512,2689.1029
46,7291.8886,7478.4823,2977.9367
47,7229.8938,7910.932,3521.1758
48,7405.9989,8224.8918,3611.6888
49,7430.3492,8462.3346,3884.0167
50,7802.827,8858.2443,4338.8553
51,8045.2599,9006.9052,4565.7356
52,8527.6147,9570.5544,4956.0976
53,8917.4875,10107.8701,5565.0848
54,8985.0474,10186.1796,5642.7052
55,9241.2126,10433.2916,6028.41
56,9126.2607,10543.3407,6256.9968
57,9703.289,11059.731,6882.7348
58,9861.3837,11419.6032,7148.2026
59,9762.2494,11443.7417,7272.2954
60,10006.9358,11771.5695,7710.7042
61,9932.6338,12026.0474,8142.2618
62,10060.7539,12310.7921,8681.5889
63,10063.9725,12456.6367,9098.8265
64,10170.7456,12764.7241,9705.2743
65,10274.3492,12973.6362,9691.4292
66,10631.1997,13365.7115,10105.4402
67,10860.881,13672.0533,10444.4075
68,11115.018,13995.0125,10958.8224
69,11378.6876,14417.972,11520.434
70,11628.0887,14694.9517,11738.5276
71,11723.8469,14906.1072,12652.7411
72,11450.3932,14779.4027,12707.7406
73,11641.1458,15041.4162,13289.9185
74,11845.4709,15263.7202,13723.0839
75,11952.1593,15551.9501,14261.4033
76,11893.2801,15854.4586,14613.1381
77,12236.4919,16588.3502,15400.6266
78,12455.5584,16885.7552,15740.3038
79,12344.6124,17209.4312,16227.6103
80,12295.6595,17478.2589,16370.6488
81,12121.9604,17653.4968,17109.1743
82,12122.112,18019.3794,17569.5841
83,12160.5393,18103.6582,17670.9395
84,12293.3069,18691.0214,18599.6025
85,12415.6519,19285.1021,19191.2543
86,12503.3169,19605.7825,19817.8379
87,12650.9982,20199.8768,20113.2287
88,12745.1186,20536.3129,20583.8208
89,12373.0958,20378.8776,20751.6668
90,12527.9713,20815.71,21482.6308
91,12658.902,21368.9951,22234.4198
92,12453.5491,21382.1938,22424.5638
93,12699.678,21832.8153,23006.9423
94,12932.9014,22287.6363,23265.6573
95,12981.795,22614.3109,23738.4456
96,12839.8573,22897.4979,24099.7001
97,12833.0307,23181.4659,24701.728
98,12881.974,23723.6279,25329.3313
99,12611.2612,23928.507,25671.7644
100,12724.9045,24561.8354,26309.8833
101,12926.4368,25259.3958,27326.5173
102,12704.1328,25606.939,27937.7799
103,12535.9025,25878.3426,28417.8973
104,12420.3453,26093.2447,28789.1404
105,12341.5513,26314.3675,29045.9451
106,12141.9976,26557.7335,29498.8306
107,12539.0755,27100.8808,30141.4448
108,12788.253,27422.8288,30372.2779
109,12976.8985,27658.1627,30742.0239
110,13544.9227,28444.7163,31635.4523
111,13562.5008,28875.9443,32052.4994
112,13585.7086,29326.3534,32521.0375
113,13519.0753,29389.9558,32582.7418
114,13584.748,29563.0376,32699.193
115,13302.4421,29683.0403,32825.1847
116,13185.2788,29650.0255,32985.383
117,13317.4881,29950.4527,33388.4703
118,13084.2424,30120.9291,33821.1883
119,13170.6512,30585.428,34106.2452
120,12967.6322,30789.4025,34433.6278
121,13061.7796,30993.4571,34896.729
122,12948.2308,31180.3959,35390.622
123,12839.8898,31461.3733,35838.7462
124,12676.5085,31782.7484,36278.0169
125,12397.8192,31895.1536,36574.2915
126,12218.2418,32021.944,37005.3178
127,12180.9904,32108.1137,37086.249
128,12310.1542,32510.7443,37808.7932
129,12186.1143,32858.3717,38409.9269
130,12365.6016,33340.8168,39079.3738
131,12274.2809,33419.1893,39545.1161
132,12298.2261,33480.0806,39666.497
133,12433.5656,33638.6496,39824.9179
134,12383.4198,33606.6145,39952.4066
135,12565.2093,33887.5508,40498.4452
136,12562.3326,33788.9722,40564.6579
137,12807.3644,33752.7517,40948.4511
138,12805.4613,33560.8284,41025.7805
139,12784.0983,33400.0368,41302.7826
140,12624.5776,33219.5995,41373.7995
141,12465.6958,33125.6341,41591.117
142,12121.6591,32808.3141,41711.6373
143,11815.5166,32523.6225,41908.9288
144,11641.7394,32184.4617,42090.02
