metric,value
std_coverage_per_round_round_0,0.0
std_coverage_per_round_round_1,0.0
std_coverage_per_round_round_2,0.0
std_coverage_per_round_round_3,0.0
std_coverage_per_round_round_4,0.0
std_coverage_per_round_round_5,0.0
std_coverage_per_round_round_6,0.0
std_coverage_per_round_round_7,0.0
std_coverage_per_round_round_8,0.0
std_coverage_per_round_round_9,0.0
std_coverage_per_round_round_10,0.0
std_coverage_per_round_round_11,0.0
std_coverage_per_round_round_12,0.0
std_coverage_per_round_round_13,0.0
std_coverage_per_round_round_14,0.0
std_coverage_per_round_round_15,0.0
std_coverage_per_round_round_16,0.0
std_coverage_per_round_round_17,0.0
std_coverage_per_round_round_18,0.0
std_coverage_per_round_round_19,0.0
std_coverage_per_round_round_20,0.0
std_coverage_per_round_round_21,0.0
std_coverage_per_round_round_22,0.0
std_coverage_per_round_round_23,0.0
std_coverage_per_round_round_24,0.0
std_coverage_per_round_round_25,0.0
std_coverage_per_round_round_26,0.0
std_coverage_per_round_round_27,0.0
std_coverage_per_round_round_28,0.0
std_coverage_per_round_round_29,0.0
std_coverage_per_round_round_30,0.0
std_coverage_per_round_round_31,0.0
std_coverage_per_round_round_32,0.0
std_coverage_per_round_round_33,0.0
std_coverage_per_round_round_34,0.0
std_coverage_per_round_round_35,0.0
std_coverage_per_round_round_36,0.0
std_coverage_per_round_round_37,0.0
std_coverage_per_round_round_38,0.0
std_coverage_per_round_round_39,0.0
std_coverage_per_round_round_40,0.0
std_coverage_per_round_round_41,0.0
std_coverage_per_round_round_42,0.0
std_coverage_per_round_round_43,0.0
std_coverage_per_round_round_44,0.0
std_coverage_per_round_round_45,0.0
std_coverage_per_round_round_46,0.0
std_coverage_per_round_round_47,0.0
std_coverage_per_round_round_48,0.0
std_coverage_per_round_round_49,0.0
std_coverage_per_round_round_50,0.0
std_coverage_per_round_round_51,0.0
std_coverage_per_round_round_52,0.0
std_coverage_per_round_round_53,0.0
std_coverage_per_round_round_54,0.0
std_coverage_per_round_round_55,0.0
std_coverage_per_round_round_56,0.0
std_coverage_per_round_round_57,0.0
std_coverage_per_round_round_58,0.0
std_coverage_per_round_round_59,0.0
std_coverage_per_round_round_60,0.0
std_coverage_per_round_round_61,0.0
std_coverage_per_round_round_62,0.0
std_coverage_per_round_round_63,0.0
std_coverage_per_round_round_64,0.0
std_coverage_per_round_round_65,0.0
std_coverage_per_round_round_66,0.0
std_coverage_per_round_round_67,0.0
std_coverage_per_round_round_68,0.0
std_coverage_per_round_round_69,0.0
std_coverage_per_round_round_70,0.0
std_coverage_per_round_round_71,0.0
std_coverage_per_round_round_72,0.0
std_coverage_per_round_round_73,0.0
std_coverage_per_round_round_74,0.0
std_coverage_per_round_round_75,0.0
std_coverage_per_round_round_76,0.0
std_coverage_per_round_round_77,0.0
std_coverage_per_round_round_78,0.0
std_coverage_per_round_round_79,0.0
std_coverage_per_round_round_80,0.0
std_coverage_per_round_round_81,0.0
std_coverage_per_round_round_82,0.0
std_coverage_per_round_round_83,0.0
std_coverage_per_round_round_84,0.0
std_coverage_per_round_round_85,0.0
std_coverage_per_round_round_86,0.0
std_coverage_per_round_round_87,0.0
std_coverage_per_round_round_88,0.0
std_coverage_per_round_round_89,0.0
std_coverage_per_round_round_90,0.0
std_coverage_per_round_round_91,0.0
std_coverage_per_round_round_92,0.0
std_coverage_per_round_round_93,0.0
std_coverage_per_round_round_94,0.0
std_coverage_per_round_round_95,0.0
std_coverage_per_round_round_96,0.0
std_coverage_per_round_round_97,0.0
std_coverage_per_round_round_98,0.0
std_coverage_per_round_round_99,0.0
std_coverage_per_round_round_100,0.0
std_coverage_per_round_round_101,0.0
std_coverage_per_round_round_102,0.0
std_coverage_per_round_round_103,0.0
std_coverage_per_round_round_104,0.0
std_coverage_per_round_round_105,0.0
std_coverage_per_round_round_106,0.0
std_coverage_per_round_round_107,0.0
std_coverage_per_round_round_108,0.0
std_coverage_per_round_round_109,0.0
std_coverage_per_round_round_110,0.0
std_coverage_per_round_round_111,0.0
std_coverage_per_round_round_112,0.0
std_coverage_per_round_round_113,0.0
std_coverage_per_round_round_114,0.0
std_coverage_per_round_round_115,0.0
std_coverage_per_round_round_116,0.0
std_coverage_per_round_round_117,0.0
std_coverage_per_round_round_118,0.0
std_coverage_per_round_round_119,0.0
std_coverage_per_round_round_120,0.0
std_coverage_per_round_round_121,0.0
std_coverage_per_round_round_122,0.0
std_coverage_per_round_round_123,0.0
std_coverage_per_round_round_124,0.0
std_coverage_per_round_round_125,0.0
std_coverage_per_round_round_126,0.0
std_coverage_per_round_round_127,0.0
std_coverage_per_round_round_128,0.0
std_coverage_per_round_round_129,0.0
std_coverage_per_round_round_130,0.0
std_coverage_per_round_round_131,0.0
std_coverage_per_round_round_132,0.0
std_coverage_per_round_round_133,0.0
std_coverage_per_round_round_134,0.0
std_cumulative_trusted_ratio_per_round_round_0,0.0
std_cumulative_trusted_ratio_per_round_round_1,0.0
std_cumulative_trusted_ratio_per_round_round_2,0.0
std_cumulative_trusted_ratio_per_round_round_3,0.0
std_cumulative_trusted_ratio_per_round_round_4,0.0
std_cumulative_trusted_ratio_per_round_round_5,0.0
std_cumulative_trusted_ratio_per_round_round_6,0.0
std_cumulative_trusted_ratio_per_round_round_7,0.0
std_cumulative_trusted_ratio_per_round_round_8,0.0
std_cumulative_trusted_ratio_per_round_round_9,0.0
std_cumulative_trusted_ratio_per_round_round_10,0.0
std_cumulative_trusted_ratio_per_round_round_11,0.0
std_cumulative_trusted_ratio_per_round_round_12,0.0
std_cumulative_trusted_ratio_per_round_round_13,0.0
std_cumulative_trusted_ratio_per_round_round_14,0.0
std_cumulative_trusted_ratio_per_round_round_15,0.0
std_cumulative_trusted_ratio_per_round_round_16,0.0
std_cumulative_trusted_ratio_per_round_round_17,0.0
std_cumulative_trusted_ratio_per_round_round_18,0.0
std_cumulative_trusted_ratio_per_round_round_19,0.0
std_cumulative_trusted_ratio_per_round_round_20,0.0
std_cumulative_trusted_ratio_per_round_round_21,0.0
std_cumulative_trusted_ratio_per_round_round_22,0.0
std_cumulative_trusted_ratio_per_round_round_23,0.0
std_cumulative_trusted_ratio_per_round_round_24,0.0
std_cumulative_trusted_ratio_per_round_round_25,0.0
std_cumulative_trusted_ratio_per_round_round_26,0.0
std_cumulative_trusted_ratio_per_round_round_27,0.0
std_cumulative_trusted_ratio_per_round_round_28,0.0
std_cumulative_trusted_ratio_per_round_round_29,0.0
std_cumulative_trusted_ratio_per_round_round_30,0.0
std_cumulative_trusted_ratio_per_round_round_31,0.0
std_cumulative_trusted_ratio_per_round_round_32,0.0
std_cumulative_trusted_ratio_per_round_round_33,0.0
std_cumulative_trusted_ratio_per_round_round_34,0.0
std_cumulative_trusted_ratio_per_round_round_35,0.0
std_cumulative_trusted_ratio_per_round_round_36,0.0
std_cumulative_trusted_ratio_per_round_round_37,0.0
std_cumulative_trusted_ratio_per_round_round_38,0.0
std_cumulative_trusted_ratio_per_round_round_39,0.0
std_cumulative_trusted_ratio_per_round_round_40,0.0
std_cumulative_trusted_ratio_per_round_round_41,0.0
std_cumulative_trusted_ratio_per_round_round_42,0.0
std_cumulative_trusted_ratio_per_round_round_43,0.0
std_cumulative_trusted_ratio_per_round_round_44,0.0
std_cumulative_trusted_ratio_per_round_round_45,0.0
std_cumulative_trusted_ratio_per_round_round_46,0.0
std_cumulative_trusted_ratio_per_round_round_47,0.0
std_cumulative_trusted_ratio_per_round_round_48,0.0
std_cumulative_trusted_ratio_per_round_round_49,0.0
std_cumulative_trusted_ratio_per_round_round_50,0.0
std_cumulative_trusted_ratio_per_round_round_51,0.0
std_cumulative_trusted_ratio_per_round_round_52,0.0
std_cumulative_trusted_ratio_per_round_round_53,0.0
std_cumulative_trusted_ratio_per_round_round_54,0.0
std_cumulative_trusted_ratio_per_round_round_55,0.0
std_cumulative_trusted_ratio_per_round_round_56,0.0
std_cumulative_trusted_ratio_per_round_round_57,0.0
std_cumulative_trusted_ratio_per_round_round_58,0.0
std_cumulative_trusted_ratio_per_round_round_59,0.0
std_cumulative_trusted_ratio_per_round_round_60,0.0
std_cumulative_trusted_ratio_per_round_round_61,0.0
std_cumulative_trusted_ratio_per_round_round_62,0.0
std_cumulative_trusted_ratio_per_round_round_63,0.0
std_cumulative_trusted_ratio_per_round_round_64,0.0
std_cumulative_trusted_ratio_per_round_round_65,0.0
std_cumulative_trusted_ratio_per_round_round_66,0.0
std_cumulative_trusted_ratio_per_round_round_67,0.0
std_cumulative_trusted_ratio_per_round_round_68,0.0
std_cumulative_trusted_ratio_per_round_round_69,0.0
std_cumulative_trusted_ratio_per_round_round_70,0.0
std_cumulative_trusted_ratio_per_round_round_71,0.0
std_cumulative_trusted_ratio_per_round_round_72,0.0
std_cumulative_trusted_ratio_per_round_round_73,0.0
std_cumulative_trusted_ratio_per_round_round_74,0.0
std_cumulative_trusted_ratio_per_round_round_75,0.0
std_cumulative_trusted_ratio_per_round_round_76,0.0
std_cumulative_trusted_ratio_per_round_round_77,0.0
std_cumulative_trusted_ratio_per_round_round_78,0.0
std_cumulative_trusted_ratio_per_round_round_79,0.0
std_cumulative_trusted_ratio_per_round_round_80,0.0
std_cumulative_trusted_ratio_per_round_round_81,0.0
std_cumulative_trusted_ratio_per_round_round_82,0.0
std_cumulative_trusted_ratio_per_round_round_83,0.0
std_cumulative_trusted_ratio_per_round_round_84,0.0
std_cumulative_trusted_ratio_per_round_round_85,0.0
std_cumulative_trusted_ratio_per_round_round_86,0.0
std_cumulative_trusted_ratio_per_round_round_87,0.0
std_cumulative_trusted_ratio_per_round_round_88,0.0
std_cumulative_trusted_ratio_per_round_round_89,0.0
std_cumulative_trusted_ratio_per_round_round_90,0.0
std_cumulative_trusted_ratio_per_round_round_91,0.0
std_cumulative_trusted_ratio_per_round_round_92,0.0
std_cumulative_trusted_ratio_per_round_round_93,0.0
std_cumulative_trusted_ratio_per_round_round_94,0.0
std_cumulative_trusted_ratio_per_round_round_95,0.0
std_cumulative_trusted_ratio_per_round_round_96,0.0
std_cumulative_trusted_ratio_per_round_round_97,0.0
std_cumulative_trusted_ratio_per_round_round_98,0.0
std_cumulative_trusted_ratio_per_round_round_99,0.0
std_cumulative_trusted_ratio_per_round_round_100,0.0
std_cumulative_trusted_ratio_per_round_round_101,0.0
std_cumulative_trusted_ratio_per_round_round_102,0.0
std_cumulative_trusted_ratio_per_round_round_103,0.0
std_cumulative_trusted_ratio_per_round_round_104,0.0
std_cumulative_trusted_ratio_per_round_round_105,0.0
std_cumulative_trusted_ratio_per_round_round_106,0.0
std_cumulative_trusted_ratio_per_round_round_107,0.0
std_cumulative_trusted_ratio_per_round_round_108,0.0
std_cumulative_trusted_ratio_per_round_round_109,0.0
std_cumulative_trusted_ratio_per_round_round_110,0.0
std_cumulative_trusted_ratio_per_round_round_111,0.0
std_cumulative_trusted_ratio_per_round_round_112,0.0
std_cumulative_trusted_ratio_per_round_round_113,0.0
std_cumulative_trusted_ratio_per_round_round_114,0.0
std_cumulative_trusted_ratio_per_round_round_115,0.0
std_cumulative_trusted_ratio_per_round_round_116,0.0
std_cumulative_trusted_ratio_per_round_round_117,0.0
std_cumulative_trusted_ratio_per_round_round_118,0.0
std_cumulative_trusted_ratio_per_round_round_119,0.0
std_cumulative_trusted_ratio_per_round_round_120,0.0
std_cumulative_trusted_ratio_per_round_round_121,0.0
std_cumulative_trusted_ratio_per_round_round_122,0.0
std_cumulative_trusted_ratio_per_round_round_123,0.0
std_cumulative_trusted_ratio_per_round_round_124,0.0
std_cumulative_trusted_ratio_per_round_round_125,0.0
std_cumulative_trusted_ratio_per_round_round_126,0.0
std_cumulative_trusted_ratio_per_round_round_127,0.0
std_cumulative_trusted_ratio_per_round_round_128,0.0
std_cumulative_trusted_ratio_per_round_round_129,0.0
std_cumulative_trusted_ratio_per_round_round_130,0.0
std_cumulative_trusted_ratio_per_round_round_131,0.0
std_cumulative_trusted_ratio_per_round_round_132,0.0
std_cumulative_trusted_ratio_per_round_round_133,0.0
std_cumulative_trusted_ratio_per_round_round_134,0.0
std_platform_utility,0.0
std_final_coverage_rate,0.0
std_total_cost,0.0
std_trusted_count,0.0
std_malicious_count,0.0
std_unknown_count,0.0
std_total_fee,0.0
std_total_bonus_paid,0.0
std_avg_roi,0.0
